group,id_spec,WARP1,rho14_pencilsFINAL,WARP2,rho14_pensFINAL,rhoIND_pencils,rhoIND_pens
22,12,0,0,0,0,0.999999999909092,0.999999999909092
22,13,9,0,11,0,0.502203689839554,0.502203689704795
23,4,0,0,0,0,0.999999999909092,0.999999999909092
23,5,9,0,11,0,0.502203690379084,0.380748389881568
23,6,12,0,8,0,0.244680404331678,0.613066226438648
23,7,7,0,7,0,0.613066222542964,0.613066224430292
23,8,11,0,11,0,0.38074839246103,0.380748384263545
23,9,5,0,12,0,0.814093095229122,0.38074838615104
23,10,11,0,8,0,0.244680404849965,0.716283689461554
23,11,3,0,9,0,0.908228625557358,0.613066226390638
23,12,3,0,3,0,0.908228625536742,0.908228625556588
23,13,1,0,7,0,0.90822862555007,0.613066226405137
23,14,0,0,0,0,0.999999999909092,0.999999999909092
24,6,9,0.34491159681762,11,0.306878090615762,0.613066222545997,0.380748391969452
24,7,0,0.993227736435248,4,0.678089503708709,0.999999999909092,0.814093095266221
24,8,3,0.885114730242009,0,0.958193083755609,0.908228625474713,0.999999999909092
24,9,0,0.973344884011327,1,0.884064046875105,0.999999999909092,0.90822862548335
24,10,0,0.97138878517665,1,0.875911023930792,0.999999999909092,0.908228618546506
24,11,0,0.989726339947843,0,0.98127233043975,0.999999999909092,0.999999999909092
24,12,0,0.992963686154768,3,0.881605818925984,0.999999999909092,0.908228618538021
24,13,0,0.977367712356649,0,0.958193083755609,0.999999999909092,0.999999999909092
24,14,0,0.969026472217586,5,0.77856141642728,0.999999999909092,0.814093095212233
24,15,0,0.942345545201474,0,0.962275976728786,0.999999999909092,0.999999999909092
24,16,1,0.879914161990325,0,0.972349424850074,0.908228618546045,0.999999999909092
24,17,0,0.942345545201474,0,0.958193083755609,0.999999999909092,0.999999999909092
24,18,0,0.97138878517665,0,0.958193083755609,0.999999999909092,0.999999999909092
24,19,0,0.992165809892573,5,0.781985831694906,0.999999999909092,0.814093095290245
24,20,1,0.881874605722754,0,0.959032229626891,0.90822862548335,0.999999999909092
24,21,4,0.75947004197506,5,0.746056994072605,0.814093095258667,0.814093095220122
25,1,0,0.961383072339255,7,0.332856738156168,0.999999999909092,0.613066222552012
25,2,7,0.478547294428131,3,0.873507773402298,0.613066226473715,0.908228625534607
25,3,0,0.989726339947843,0,0.971138636935973,0.999999999909092,0.999999999909092
25,4,0,0.961383072339255,0,0.893581779835193,0.999999999909092,0.999999999909092
25,5,9,0.360814197764834,6,0.49816741637065,0.502203679325492,0.716283695355501
25,6,8,0.426425668185856,0,0.966620999076973,0.613066222510584,0.999999999909092
25,7,2,0.803095975634284,9,0.322828849456508,0.814093095206576,0.502203679337433
25,8,11,0.336189180382604,11,0.306831614216996,0.502203682506074,0.380748391964323
25,9,0,0.959001113457524,0,0.98930925187466,0.999999999909092,0.999999999909092
25,10,11,0.361358905654598,11,0.305415026003767,0.50220367991531,0.244680404334341
26,2,7,0.433817356702464,4,0.862442975515298,0.613066226411362,0.814093095262804
26,3,10,0.376783835786131,10,0.307317365143797,0.613066222557113,0.380748384269873
26,4,0,0.961383072339255,8,0.322527025315639,0.999999999909092,0.613066226418646
26,5,0,0.942345545201474,3,0.87800424135807,0.999999999909092,0.908228625535236
26,6,0,0.973344884011327,0,0.975569797357615,0.999999999909092,0.999999999909092
26,7,7,0.419038871202423,10,0.315239621807193,0.613066226362242,0.502203679103008
26,8,11,0.335272969167423,12,0.30513950663307,0.502203689706721,0.244680404446043
26,9,0,0.961383072339255,7,0.530004785329841,0.999999999909092,0.716283689443759
26,10,0,0.973344884011327,1,0.889971699157106,0.999999999909092,0.908228625549582
27,30,5,0.815400992787115,1,0.881692275637041,0.814093095280168,0.908228625483447
27,31,0,0.923582992284207,0,0.972349424850074,0.999999999909092,0.999999999909092
27,33,3,0.89969077021593,0,0.98798844522417,0.908228625484206,0.999999999909092
27,34,0,0.961383072339255,1,0.878437064064673,0.999999999909092,0.908228625520419
27,35,1,0.88391805564329,8,0.340815113058309,0.908228625549357,0.613066223306175
27,36,1,0.878034027035175,1,0.878667421942859,0.908228625550186,0.908228625464485
27,37,0,0.961383072339255,0,0.972349424850074,0.999999999909092,0.999999999909092
27,38,0,0.977367712356649,0,0.958193083755609,0.999999999909092,0.999999999909092
28,2,11,0.33911958720325,10,0.311712185203353,0.502203685309294,0.502203689677217
28,3,0,0.993621170752326,3,0.882338249504461,0.999999999909092,0.908228618545734
28,4,0,0.942345545201474,0,0.958193083755609,0.999999999909092,0.999999999909092
28,5,8,0.427830112478071,5,0.775170805896207,0.613066226197781,0.814093095235209
28,6,1,0.885955430258244,0,0.98127233043975,0.908228625565967,0.999999999909092
28,7,0,0.977367712356649,8,0.306782202432772,0.999999999909092,0.613066224453284
28,8,0,0.942345545201474,0,0.98930925187466,0.999999999909092,0.999999999909092
28,9,4,0.848611192913399,0,0.971138636935973,0.814093095257369,0.999999999909092
28,10,5,0.837585339764494,8,0.317326329058161,0.814093095326812,0.613066223499428
29,1,7,0.535735154994734,5,0.626546001154438,0.716283692330978,0.716283695362488
29,2,0,0.987242422474143,0,0.951916002090914,0.999999999909092,0.999999999909092
29,3,7,0.439670159430075,4,0.801433972134394,0.716283695276056,0.814093095250011
29,4,6,0.744980174124901,11,0.306462508546288,0.716283695336067,0.380748386131846
29,5,0,0.987242422474143,0,0.975569797357615,0.999999999909092,0.999999999909092
29,6,10,0.339230799334384,11,0.306061896769812,0.380748384249651,0.380748386122906
29,7,8,0.420429123859485,10,0.305768019277882,0.613066226468932,0.380748386153291
29,8,8,0.341047694138565,8,0.305273255489955,0.502203689734473,0.502203689771711
29,9,9,0.337233314446665,9,0.313547550473627,0.38074838420995,0.50220367995063
29,10,8,0.336788714807759,9,0.351019508894771,0.502203684442706,0.613066222501697
29,11,0,0.969026472217586,1,0.877976382568938,0.999999999909092,0.908228625463454
29,12,0,0.97138878517665,0,0.989977970069886,0.999999999909092,0.999999999909092
29,13,7,0.698823961184416,8,0.322019969972065,0.716283695261206,0.61306622249546
29,14,7,0.632615769159818,0,0.972349424850074,0.716283695247184,0.999999999909092
29,15,4,0.850622606075617,7,0.380589831514762,0.814093095264765,0.613066223490585
30,7,0,0.993557287700949,0,0.958193083755609,0.999999999909092,0.999999999909092
30,8,0,0.97138878517665,1,0.875827596844876,0.999999999909092,0.908228625546863
30,9,0,0.987242422474143,3,0.864352514120498,0.999999999909092,0.908228625537297
30,10,0,0.987242422474143,0,0.912826099740809,0.999999999909092,0.999999999909092
30,11,1,0.811324388959789,3,0.878872986539768,0.908228625550088,0.908228625534573
30,12,0,0.973344884011327,0,0.951916002090914,0.999999999909092,0.999999999909092
30,13,9,0.349870340989215,11,0.306254608058958,0.502203681739779,0.380748386133916
31,4,0,0.985685000802607,0,0.912826099740809,0.999999999909092,0.999999999909092
31,5,0,0.989726339947843,0,0.966620999076973,0.999999999909092,0.999999999909092
31,6,10,0.335757867942443,1,0.884064046875105,0.502203690378554,0.90822862548335
31,7,0,0.992680257783382,0,0.98127233043975,0.999999999909092,0.999999999909092
31,8,3,0.857876082134222,0,0.98930925187466,0.908228625535063,0.999999999909092
31,9,5,0.765871828037126,8,0.363324176486891,0.814093095252421,0.61306622451367
31,10,0,0.942345545201474,0,0.966620999076973,0.999999999909092,0.999999999909092
31,11,4,0.845428312828958,0,0.958193083755609,0.814093095268726,0.999999999909092
32,5,1,0.893408796306472,5,0.546981250101239,0.908228618545451,0.716283695369603
32,6,1,0.882452154667099,2,0.840005285256995,0.908228625550161,0.814093095207152
32,7,0,0.993557287700949,0,0.971138636935973,0.999999999909092,0.999999999909092
32,8,1,0.890228682458527,0,0.958193083755609,0.908228625549558,0.999999999909092
32,9,1,0.878034027035175,9,0.319760448936491,0.908228625550186,0.502203679992191
32,10,1,0.890228682458527,0,0.966620999076973,0.908228625549558,0.999999999909092
32,11,0,0.992963686154768,0,0.946274514345772,0.999999999909092,0.999999999909092
32,12,0,0.942345545201474,0,0.966620999076973,0.999999999909092,0.999999999909092
32,13,5,0.81558139921641,5,0.76671464402322,0.814093095230589,0.814093095297747
32,14,9,0.416494845405211,8,0.33659457523165,0.613066222747559,0.61306622662387
32,15,11,0.334924122490674,12,0.30515697249209,0.380748384416009,0.244680404161899
33,2,0,0.973344884011327,5,0.786471633357721,0.999999999909092,0.814093095223083
33,3,5,0.655454962966634,0,0.975569797357615,0.716283695239864,0.999999999909092
33,4,2,0.838015639091515,5,0.744560076845622,0.814093095206865,0.814093095289804
33,5,11,0.335278250890319,10,0.310483741223645,0.380748390454656,0.50220368968853
33,6,1,0.840400044462188,5,0.830984663491154,0.90822862546407,0.814093095232594
33,7,0,0.992680257783382,12,0.306324602993535,0.999999999909092,0.380748386108844
33,8,5,0.813970470287704,1,0.883703734927031,0.814093095217646,0.908228625550186
33,9,3,0.882818350896134,11,0.310940547125468,0.908228625557184,0.502203689702616
33,10,0,0.97138878517665,0,0.945305206464669,0.999999999909092,0.999999999909092
33,11,0,0.969026472217586,0,0.971138636935973,0.999999999909092,0.999999999909092
34,3,0,0.942345545201474,0,0.966620999076973,0.999999999909092,0.999999999909092
34,4,0,0.973344884011327,0,0.966620999076973,0.999999999909092,0.999999999909092
34,5,0,0.993557287700949,3,0.874178458861018,0.999999999909092,0.90822862553436
34,6,0,0.971101873926137,0,0.903004304070695,0.999999999909092,0.999999999909092
34,7,0,0.97138878517665,0,0.975569797357615,0.999999999909092,0.999999999909092
34,8,5,0.824642736878966,6,0.391316170923942,0.814093088513233,0.716283695376941
34,9,9,0.334960928772115,11,0.306233994628215,0.380748386118863,0.380748383824707
34,10,0,0.973344884011327,0,0.906533111465715,0.999999999909092,0.999999999909092
34,11,0,0.969026472217586,0,0.975569797357615,0.999999999909092,0.999999999909092
34,12,0,0.97138878517665,0,0.946274514345772,0.999999999909092,0.999999999909092
34,13,1,0.892598243996601,0,0.98127233043975,0.908228625549582,0.999999999909092
34,14,0,0.973344884011327,0,0.951916002090914,0.999999999909092,0.999999999909092
34,15,0,0.973344884011327,0,0.975569797357615,0.999999999909092,0.999999999909092
35,6,0,0.961383072339255,0,0.946274514345772,0.999999999909092,0.999999999909092
35,7,0,0.992680257783382,3,0.874971533995574,0.999999999909092,0.908228625473023
35,8,0,0.883342792459141,0,0.979590094487636,0.999999999909092,0.999999999909092
35,9,0,0.969026472217586,0,0.951916002090914,0.999999999909092,0.999999999909092
35,10,0,0.992165809892573,0,0.971138636935973,0.999999999909092,0.999999999909092
35,11,0,0.942345545201474,0,0.958193083755609,0.999999999909092,0.999999999909092
35,12,0,0.97138878517665,0,0.946274514345772,0.999999999909092,0.999999999909092
35,13,0,0.961383072339255,0,0.98798844522417,0.999999999909092,0.999999999909092
